"Date","Price","Open","High","Low","Vol.","Change %"
"23/05/2024","3,893.45","3,840.95","3,905.00","3,825.50","2.10M","1.60%"
"22/05/2024","3,832.00","3,835.00","3,841.25","3,817.55","1.31M","0.31%"
"21/05/2024","3,820.20","3,830.60","3,844.75","3,810.05","1.91M","-0.81%"
"18/05/2024","3,851.45","3,847.00","3,861.90","3,840.00","91.07K","0.45%"
"17/05/2024","3,834.10","3,919.00","3,920.00","3,830.00","2.77M","-1.71%"
"16/05/2024","3,900.95","3,891.10","3,909.50","3,843.50","2.60M","0.53%"
"15/05/2024","3,880.40","3,904.50","3,926.95","3,875.50","1.12M","-0.53%"
"14/05/2024","3,901.20","3,936.00","3,945.80","3,892.90","1.06M","-1.18%"
"13/05/2024","3,947.80","3,884.50","3,955.00","3,870.00","931.33K","1.38%"
"10/05/2024","3,893.90","3,962.60","3,973.60","3,885.05","1.67M","-1.67%"
"09/05/2024","3,960.20","3,962.00","3,971.00","3,910.05","1.73M","-0.42%"
"08/05/2024","3,976.95","3,961.00","3,984.30","3,938.60","1.25M","-0.05%"
"07/05/2024","3,978.95","3,930.80","3,988.00","3,913.50","2.06M","1.48%"
"06/05/2024","3,921.05","3,853.00","3,939.95","3,853.00","2.05M","2.02%"
"03/05/2024","3,843.40","3,890.15","3,893.60","3,797.60","2.96M","-0.52%"
"02/05/2024","3,863.30","3,778.05","3,871.10","3,778.05","2.49M","1.12%"
"30/04/2024","3,820.65","3,872.00","3,881.75","3,810.00","2.20M","-1.28%"
"29/04/2024","3,870.20","3,838.00","3,877.80","3,819.20","1.11M","1.28%"
"26/04/2024","3,821.35","3,855.15","3,876.80","3,802.55","2.04M","-0.80%"
"25/04/2024","3,852.20","3,811.20","3,873.65","3,811.00","2.86M","0.55%"
"24/04/2024","3,831.05","3,890.00","3,898.00","3,824.45","1.32M","-1.13%"
"23/04/2024","3,874.70","3,877.05","3,895.00","3,860.60","1.81M","0.26%"
"22/04/2024","3,864.60","3,837.00","3,878.00","3,812.00","1.73M","1.00%"
"19/04/2024","3,826.20","3,838.00","3,852.55","3,800.90","2.96M","-0.93%"
"18/04/2024","3,862.00","3,876.80","3,936.00","3,850.00","3.48M","-0.28%"
"16/04/2024","3,872.80","3,902.00","3,928.70","3,862.85","3.05M","-1.74%"
"15/04/2024","3,941.20","4,001.40","4,064.20","3,919.05","4.20M","-1.50%"
"12/04/2024","4,001.40","3,971.00","4,013.35","3,945.50","4.35M","0.42%"
"10/04/2024","3,984.65","3,956.40","3,990.20","3,918.00","2.10M","0.97%"
"09/04/2024","3,946.55","3,984.00","4,015.85","3,925.05","1.88M","-0.65%"
"08/04/2024","3,972.55","3,983.00","4,032.65","3,960.00","2.30M","-0.17%"
"05/04/2024","3,979.25","3,978.00","4,002.00","3,960.50","1.64M","-0.60%"
"04/04/2024","4,003.30","3,975.90","4,028.65","3,935.25","3.39M","1.42%"
"03/04/2024","3,947.30","3,851.00","3,981.00","3,851.00","3.97M","1.63%"
"02/04/2024","3,883.80","3,890.00","3,909.85","3,873.00","2.14M","-0.84%"
"01/04/2024","3,916.75","3,897.70","3,933.30","3,888.05","1.57M","1.04%"
"28/03/2024","3,876.30","3,850.10","3,915.00","3,840.50","4.31M","0.92%"
"27/03/2024","3,840.90","3,888.50","3,895.00","3,829.40","1.97M","-0.94%"
"26/03/2024","3,877.50","3,875.00","3,946.70","3,871.45","3.44M","-0.85%"
"22/03/2024","3,910.90","3,897.00","3,938.00","3,855.00","5.85M","-1.56%"
"21/03/2024","3,972.95","3,990.05","4,008.40","3,948.00","3.83M","0.05%"
